,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,cat
10,8801368,566,NIG23400,23400,22 January 2022,2022,1,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria),7,37,Western Africa,Nigeria,Plateau,Jos North,,Jos,9.9285,8.8921,2,Daily Trust (Nigeria),National,"On 22 January 2022, unidentified armed persons shot and killed a Fulani pastoralist in Dong village (Jos North, Plateau). A second pastoralist escaped the attack.",1,1643646041,NGA,victim
11,8801280,566,NIG23396,23396,20 January 2022,2022,2,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Benue,Okpokwu,,Okpoga,7.0336,7.8134,2,Daily Independent (Nigeria); Daily Trust (Nigeria); New Telegraph,National,"Around 20 January 2022 (between 18 - 22 January), suspected Fulani pastoralists killed two civilians in Igama community (Okpokwu, Benue), coded as Okpoga. The bodies of one of the victims was found decomposing, several houses were burnt by the assailants while residents fled their homes.",2,1643646041,NGA,perpetrator
12,8817068,566,NIG23494,23494,19 January 2022,2022,1,Violence against civilians,Attack,IPOB: Indigenous Peoples of Biafra,,2,Civilians (Nigeria),Pastoralists (Nigeria); Fulani Ethnic Group (Nigeria),7,27,Western Africa,Nigeria,Enugu,Nkanu East,,Ugboka,6.2165,7.5814,1,Daily Trust (Nigeria),National,"On 19 January 2022, IPOB militants killed a pastoralist in Ugboka (Nkanu East, Enugu) and shot many cows belonging to the pastoralist's employers who are locals of the area.",1,1644252032,NGA,victim
13,8793027,566,NIG23317,23317,17 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Labour Group (Nigeria),7,47,Western Africa,Nigeria,Ogun,Remo North,,Isara,6.9928,3.6819,2,EONS Intelligence; Nigeria Punch; Guardian (Nigeria); Sahara Reporters,National-Regional,"On 17 January 2022, armed Fulani pastoralists numbering about 10 shot sporadically at vehicles and abducted two staff of the national council of registered insurance brokers and two other persons around the Isara axis of Lagos-Ibadan expressway (Remo North, Ogun). The abductors have demanded for 20 million naira for each abductee; the victims were released around 19 January after 7.5 million naira was paid",0,1643040847,NGA,perpetrator
14,8793023,566,NIG23309,23309,15 January 2022,2022,2,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),,4,Civilians (Nigeria),Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria),7,47,Western Africa,Nigeria,Katsina,Kurfi,,Kurfi,12.6684,7.4841,2,Nigeria Punch; Sahara Reporters,National-Regional,"Around 15 January 2022 (as reported), katsina militiamen attacked civilians, suspected to be Fulani, in Badole village Kurfi LGA (Katsina). The militiamen rustled cattle. Casualties unknown.",0,1643040847,NGA,victim
15,8793017,566,NIG23302,23302,14 January 2022,2022,1,Violence against civilians,Attack,Niger Communal Militia (Nigeria),,4,Civilians (Nigeria),Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria),7,47,Western Africa,Nigeria,Niger,Mashegu,,Dogon Fadama,9.5989,5.2013,1,Vanguard (Nigeria); Sahara Reporters; Premium Times (Nigeria),National-Regional,"On 14 January 2022, Niger militiamen killed two persons and abducted four others, suspected Fulani, in Dogon Fadama (Mashegu, Niger), Jigawa and surrounding communities. The assailants stole household items and rustled a lot of cattle. Fatalities split into two events.",1,1643040847,NGA,victim
16,8793018,566,NIG23303,23303,14 January 2022,2022,1,Violence against civilians,Attack,Niger Communal Militia (Nigeria),,4,Civilians (Nigeria),Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria),7,47,Western Africa,Nigeria,Niger,Mashegu,,Dogon Fadama,9.5989,5.2013,2,Vanguard (Nigeria); Sahara Reporters; Premium Times (Nigeria),National-Regional,"On 14 January 2022, Niger militiamen killed two persons and abducted four others, suspected to be Fulani, in Jigawa and surrounding communities of Mashegu LGA (Niger), coded to Dogon Fadama. The assailants stole household items and rustled a lot of cattle. Fatalities split into two events.",1,1643040847,NGA,victim
17,8793015,566,NIG23300,23300,13 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Ogun,Egbado North,,Aworo,7.26,2.7894,1,Daily Post (Nigeria); Nigeria Punch; Daily Trust (Nigeria),National,"On 13 January 2022, armed Fulani pastoralists attacked and killed two persons in Aworo community (Egbado North, Ogun). Houses and other properties were set on fire, many individuals were wounded and hundreds were displaced. The attack is a reprisal for the killing of three pastoralists by armed individuals in Aworo [coded separately], policemen and amotekun corps intervened to calm the situation [not specified].",2,1643040847,NGA,perpetrator
18,8785821,566,NIG23236,23236,12 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Plateau,Bassa,,Bassa,9.9333,8.7333,2,The Cable (Nigeria); Sun (Nigeria); EONS Intelligence; Inside Arewa (Nigeria),National,"On 12 January 2022, suspected armed Fulani pastoralists attacked and killed 18 civilians in Ancha community, Bassa LGA (Plateau), coded as Bassa. The assailants left six persons wounded and also set fire to several houses.",18,1642439768,NGA,perpetrator
19,8793014,566,NIG23299,23299,12 January 2022,2022,2,Violence against civilians,Attack,Aworo Communal Militia (Nigeria),,4,Civilians (Nigeria),Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria),7,47,Western Africa,Nigeria,Ogun,Egbado North,,Aworo,7.26,2.7894,1,Nigeria Punch; Daily Trust (Nigeria); Daily Post (Nigeria),National,"Around 12 January 2022 (as reported), Aworo community members killed three Fulani pastoralists in Aworo community (Egbado North, Ogun). The pastoralists were accused of destroying farms and water resources in the community and were chased away; their cows were killed.",3,1643040847,NGA,victim
20,8785805,566,NIG23207,23207,11 January 2022,2022,1,Battles,Armed clash,Gassol Communal Militia (Nigeria),MACBAN: Miyetti Allah Cattle Breeders Association of Nigeria; Pastoralists (Nigeria); Fulani Ethnic Militia (Nigeria); Plateau Communal Militia (Nigeria),4,Zamfara Communal Militia (Nigeria),,4,44,Western Africa,Nigeria,Taraba,Gassol,,Wuro Karal,8.7574,10.8914,2,Daily Trust (Nigeria); Sahara Reporters; Nigeria Punch,National-Regional,"On 11 January 2022, local vigilantes, some members of Miyetti Allah, Fulani, and other local militias from plateau state invaded a hideout of fleeing Zamfara militiamen and engaged them in a clash in the Karbawi forest, near Wuro Karal (Gassol, Taraba). At least 30-40 local militia members were killed.",30,1642439768,NGA,perpetrator
21,8785819,566,NIG23234,23234,11 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Plateau,Riyom,,Riyom,9.6368,8.7569,2,EONS Intelligence; Sun (Nigeria); Sahara Reporters,National-Regional,"On 11 January 2022, suspected armed Fulani pastoralists attacked persons in Tyaana village, Riyom LGA (Plateau), coded as Riyom. Between three to five persons were killed, two others sustained gunshot injuries",3,1642439768,NGA,perpetrator
22,8785817,566,NIG23231,23231,10 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Arimogija Communal Group (Nigeria),7,47,Western Africa,Nigeria,Ondo,Ose,,Arimogija,6.8212,5.7048,1,Sahara Reporters; Nigeria Punch,National-Regional,"On 10 January 2022, suspected armed Fulani pastoralists attacked residents of Arimogija (Ose, Ondo). Five persons, including the head of the community were killed.",5,1642439768,NGA,perpetrator
23,8785965,566,NIG23232,23232,10 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria),7,47,Western Africa,Nigeria,Plateau,Bassa,,Bassa,9.9333,8.7333,2,Sun (Nigeria),National,"On 10 January 2022, suspected armed Fulani pastoralists ambushed and killed a farmer on his way to his farm in Ncha village in Bassa LGA (Plateau), coded to Bassa. The victim's wife escaped the attack with gunshot injuries.",1,1642439769,NGA,perpetrator
24,8785970,566,NIG23222,23222,09 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria),7,47,Western Africa,Nigeria,Ebonyi,Ivo,,Ishiagu,5.9529,7.5601,2,Sun (Nigeria),National,"On 9 January 2022, suspected armed Fulani pastoralists attacked and killed three farmers at their farms in Amaeze Ishiagu (Ivo, Ebonyi), coded to Ishiagu.",3,1642439769,NGA,perpetrator
25,8785799,566,NIG23198,23198,08 January 2022,2022,1,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Unidentified Armed Group (Nigeria),Farmers (Nigeria),3,34,Western Africa,Nigeria,Kwara,Asa,,Alapa,8.6167,4.3833,1,Sahara Reporters; Daily Post (Nigeria); Daily Trust (Nigeria),National-Regional,"On 8 January 2022, an armed Fulani pastoralist clashed with farmers in Alapa (Asa, Kwara). The Fulani pastoralist and two farmers were seriously wounded.",0,1642439768,NGA,perpetrator
26,8785947,566,NIG23218,23218,08 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Labour Group (Nigeria),7,47,Western Africa,Nigeria,Ogun,Odeda,,Imolisa,7.1666,3.7666,2,Sahara Reporters,Regional,"On 8 January 2022, suspected armed Fulani men attacked a commercial bus at the Onigaari axis of the Lagos-Ibadan highway near Imolisa (Odeda, Ogun). The driver was killed, one passenger was wounded and five others including one woman; a ransom of 30 million naira was demanded for the release of the woman.",1,1642439769,NGA,perpetrator
27,8785969,566,NIG23217,23217,07 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria),7,47,Western Africa,Nigeria,Plateau,Bassa,,Bassa,9.9333,8.7333,2,Sun (Nigeria),National,"On 7 January 2022, suspected armed Fulani pastoralists attacked and presumably killed a farmer at his farm in Nzhwereni village in Bassa LGA (Plateau), coded to Bassa. The body of the victim had not been found as of 12 January, only traces of his blood were seen; the assailants stole his motorcycle and water pump machine.",1,1642439769,NGA,perpetrator
28,8774531,566,NIG23165,23165,06 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria),7,47,Western Africa,Nigeria,Ondo,Ose,,Ifon,6.9241,5.776,2,Daily Post (Nigeria); New Telegraph; Daily Independent (Nigeria),International,"On 6 January 2022, suspected armed Fulani pastoralists killed three people in Molege community (Ose, Ondo), coded as Ifon. The assailants set farmlands and houses in the community ablaze after locals refused to permit the pastoralists to graze on their farms.",3,1642167834,NGA,perpetrator
29,8706255,566,NIG23155,23155,05 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Enugu,Isi Uzo,,Eha Amufu,6.6592,7.7596,2,Nigeria Punch,National,"On 5 January 2022, armed pastoralists (assumed Fulani) killed five persons, including women and children, at the Mgbuji autonomous community in Eha Amufu (Isi Uzo, Enugu). Residents of the area fled after the attack.",5,1641863887,NGA,perpetrator
30,8706335,566,NIG23143,23143,04 January 2022,2022,1,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Unidentified Communal Militia (Nigeria),Farmers (Nigeria),4,44,Western Africa,Nigeria,Jigawa,Kiri-Kasamma,,Kiri Kasamma,12.6932,10.2551,2,Premium Times (Nigeria),National,"On 4 January 2022, Fulani pastoralists clashed with farmers in Kiri Kasamma LGA (Jigawa). One person was killed and six others were wounded.",1,1641863887,NGA,perpetrator
31,8774779,566,NIG23126,23126,03 January 2022,2022,1,Violence against civilians,Abduction/forced disappearance,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Women (Nigeria); Protestant Christian Group (Nigeria),7,47,Western Africa,Nigeria,Plateau,Bokkos,,Bokkos,9.3,9.0,2,Sahara Reporters; Legit,Regional-International,"On 3 January 2022, suspected armed Fulani pastoralists abducted a woman from her pastor's house in Ngyong community, Bokkos LGA (Plateau). There are no reports about demands for ransom yet.",0,1642167835,NGA,perpetrator
32,8774782,566,NIG23134,23134,03 January 2022,2022,1,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),,4,Civilians (Nigeria),Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria),7,47,Western Africa,Nigeria,Kaduna,Igabi,,Rigacikun,10.6318,7.4727,2,The Cable (Nigeria); EONS Intelligence; Vanguard (Nigeria),International,"On 3 January 2022, Kaduna militiamen killed one person in a pastoralists (assumed Fulani) settlement at Ruggar Goshe in Rigacikun (Igabi, Kaduna).",1,1642167835,NGA,victim
33,8774784,566,NIG23136,23136,03 January 2022,2022,1,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),,4,Civilians (Nigeria),Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria),7,47,Western Africa,Nigeria,Kaduna,Zaria,,Zaria,11.0886,7.6974,2,EONS Intelligence; The Cable (Nigeria); Vanguard (Nigeria),International,"On 3 January 2022, Kaduna militiamen shot and killed a person in a pastoralists (assumed Fulani) settlement at Filin Idin Barebare in Zaria LGA (Kaduna).",1,1642167835,NGA,victim
34,8774785,566,NIG23137,23137,03 January 2022,2022,1,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),,4,Civilians (Nigeria),Police Forces of Nigeria (2015-); Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria),7,47,Western Africa,Nigeria,Kaduna,Zaria,,Zaria,11.0886,7.6974,2,EONS Intelligence; Nigeria Punch,International,"On 3 January 2022, Kaduna militiamen attacked the residence of a police officer (assumed off-duty) in Kofar Konar in Zaria LGA (Kaduna), killing the officer and injuring a civilian. The group also looted cattle from the officer's Fulani neighbors.",1,1642167835,NGA,victim
35,8774850,566,NIG23121,23121,02 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria),7,47,Western Africa,Nigeria,Edo,Ovia North East,,Okada,6.7327,5.3899,2,Nigeria Punch; New Telegraph,International,"On 2 January 2022, suspected Fulani pastoralists invaded a farming community in the 2nd Abumere Ojigbelu Camp in Ovia North East LGA (Edo), coded to Okada, and fired shots and took over houses and properties. Casualties unknown. The police denied the claims.",0,1642167835,NGA,perpetrator
36,8793203,566,NIG23277,23277,01 January 2022,2022,1,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Hunters Group of Nigeria,,4,44,Western Africa,Nigeria,Delta,Ethiope East,,Abraka,5.7902,6.1047,2,Nigeria Punch,National,"On 1 January 2022, hunters clashed with armed Fulani pastoralists while trying to secure the release of an abducted victim in Samagidi community (Ethiope East, Delta), coded as Abraka. Casualties unknown.",0,1643040848,NGA,perpetrator
37,8706254,566,NIG23087,23087,29 December 2021,2021,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria),7,47,Western Africa,Nigeria,Gombe,Billiri,,Billiri,9.8647,11.2253,2,Nigeria Punch,National,"On 29 December 2021, suspected armed Fulani pastoralists killed eight people in Pandi Keme and Kolok Kwanin communities of Tal district in Billiri LGA (Gombe). The state government claim it was a clash between pastoralists and farmers, but this remains speculative.",8,1641863887,NGA,perpetrator
38,8705687,566,NIG23083,23083,28 December 2021,2021,2,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Unidentified Communal Militia (Nigeria),Farmers (Nigeria),4,44,Western Africa,Nigeria,Jigawa,Malam Madori,,Malummaduri,12.565,9.9573,2,Daily Post (Nigeria),National,"Around 28 December 2021 (as reported), famers and assumed Fulani pastoralists clashed at Gandun Galadima (Malam Madori, Jigawa), coded as Malummaduri. One person was killed; the victim died while receiving treatment in the hospital alongside four others, who were injured.",1,1641863885,NGA,perpetrator
39,8705762,566,NIG23079,23079,28 December 2021,2021,1,Violence against civilians,Abduction/forced disappearance,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Enugu,Isi Uzo,,Eha Amufu,6.6592,7.7596,1,EONS Intelligence,National,"On 28 December 2021, suspected armed Fulani pastoralists abducted 5 locals in Eha Amufu (Isi Uzo, Enugu). There are no reports about demands for ransom. Fulani abducted 2 others at a different time between 22 - 27 December (coded separately).",0,1641863886,NGA,perpetrator
40,8775323,566,NIG23064,23064,25 December 2021,2021,1,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Private Security Forces (Nigeria),,8,48,Western Africa,Nigeria,Kwara,Asa,,Afon,8.3166,4.5333,2,Daily Trust (Nigeria); Daily Post (Nigeria),International,"On 25 December 2021, suspected armed Fulani pastoralists attacked the ABC farm and clashed with private security personnel in Pampo village (Asa, Kwara), coded as Afon. One pastoralist was killed by the private security forces.",1,1642167837,NGA,perpetrator
41,8705763,566,NIG23057,23057,24 December 2021,2021,2,Violence against civilians,Abduction/forced disappearance,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Enugu,Isi Uzo,,Eha Amufu,6.6592,7.7596,1,EONS Intelligence,National,"Around 24 December 2021 (between 22 - 27 December), suspected armed Fulani pastoralists abducted 2 locals in Eha Amufu (Isi Uzo, Enugu). There are no reports about demands for ransom.",0,1641863886,NGA,perpetrator
42,8775453,566,NIG23053,23053,23 December 2021,2021,1,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Unidentified Communal Militia (Nigeria),Farmers (Nigeria),4,44,Western Africa,Nigeria,Jigawa,Taura,,Taura,12.2272,9.2806,2,Daily Independent (Nigeria); Daily Post (Nigeria),International,"On 23 December 2021, a farmer and a pastoralist clashed in Tofa, Taura LGA (Jigawa). The farmer was stabbed with a sharp object and killed on his farmland and two persons were arrested by the police in connection to the clash.",1,1642167837,NGA,perpetrator
43,8775702,566,NIG23004,23004,19 December 2021,2021,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria); Tiv Ethnic Group (Nigeria),7,47,Western Africa,Nigeria,Nassarawa,Awe,,Awe,8.1,9.1333,2,Nigeria Punch; Legit,International,"On 19 December 2021, suspected armed Fulani pastoralists attacked Tiv farmers in Awe LGA (Nassarawa), Obi and Lafia LGAs [coded separately] in reprisal of the discovery of the body of their kinsman in a community in the Obi LGA. Between 20 to 45 farmers were killed in the attacks which lasted from 17 to 19 December; 27 others were wounded and up to 5000 persons were displaced. 20 fatalities split across 9 events.",2,1642167838,NGA,perpetrator
44,8775705,566,NIG23010,23010,19 December 2021,2021,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria); Tiv Ethnic Group (Nigeria),7,47,Western Africa,Nigeria,Nassarawa,Lafia,,Lafia,8.4833,8.5167,2,Nigeria Punch; Legit,International,"On 19 December 2021, suspected armed Fulani pastoralists attacked Tiv farmers in Lafia LGA (Nassarawa), Obi and Awe LGAs [coded separately] in reprisal of the discovery of the body of their kinsman in a community in the Obi LGA. Between 20 to 45 farmers were killed in the attacks which lasted from 17 to 19 December; 27 others were wounded and up to 5000 persons were displaced. 20 fatalities split across 9 events.",2,1642167838,NGA,perpetrator
45,8775707,566,NIG23013,23013,19 December 2021,2021,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria); Tiv Ethnic Group (Nigeria),7,47,Western Africa,Nigeria,Nassarawa,Obi,,Obi,8.3667,8.7667,2,Legit; Nigeria Punch,International,"On 19 December 2021, suspected armed Fulani pastoralists attacked Tiv farmers in Obi LGA (Nassarawa), Lafia and Awe LGAs [coded separately] in reprisal of the discovery of the body of their kinsman in a community in the Obi LGA. Between 20 to 45 farmers were killed in the attacks which lasted from 17 to 19 December; 27 others were wounded and up to 5000 persons were displaced. 20 fatalities split across 9 events.",2,1642167838,NGA,perpetrator
46,8775771,566,NIG22993,22993,18 December 2021,2021,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria); Tiv Ethnic Group (Nigeria),7,47,Western Africa,Nigeria,Nassarawa,Awe,,Awe,8.1,9.1333,2,Legit; Nigeria Punch,International,"On 18 December 2021, suspected armed Fulani pastoralists attacked Tiv farmers in Awe LGA (Nassarawa), Obi and Lafia LGAs [coded separately] in reprisal of the discovery of the body of their kinsman in a community in the Obi LGA. Between 20 to 45 farmers were killed in the attacks which lasted from 17 to 19 December; 27 others were wounded and up to 5000 persons were displaced. 20 fatalities split across 9 events.",2,1642167838,NGA,perpetrator
